drivetrain,mpg,fuel_type,mileage,price,brand,year,engine_size,cylinders,transmission_type,gears,boost,model,price_log,boost_supercharged,boost_turbo,transmission_type_manual,brand_BMW,brand_Merc,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,drivetrain_FWD,drivetrain_RWD
RWD,25.0,Gasoline,23750,34991.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300 Base,10.462846164547514,0,1,0,0,1,0,1,0,0,1
RWD,28.5,Gasoline,24078,31991.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.373209892223665,0,1,0,0,1,0,1,0,0,1
AWD,19.5,Gasoline,23761,62892.0,Merc,2018,3.0,6.0,automatic,9.0,turbo, GLS 450 Base 4MATIC,11.049174248590166,0,1,0,0,1,0,1,0,0,0
RWD,24.5,Gasoline,18986,42000.0,Merc,2019,2.0,4.0,automatic,9.0,turbo, GLC 300 Base,10.645424897265505,0,1,0,0,1,0,1,0,0,1
AWD,28.5,Gasoline,15007,34999.0,Merc,2019,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.463074768634808,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,58675,54710.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.909801787057871,0,0,0,0,1,0,1,0,0,0
AWD,28.0,Gasoline,75635,23777.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, CLA 250 Base 4MATIC,10.076474005852402,0,1,0,0,1,0,1,0,0,0
RWD,21.0,Gasoline,43678,41881.0,Merc,2013,4.7,8.0,automatic,7.0,turbo, SL-Class SL 550,10.642587542445344,0,1,0,0,1,0,1,0,0,1
RWD,26.0,Gasoline,10443,40998.0,Merc,2017,2.0,4.0,automatic,9.0,turbo, E-Class E 300 Luxury,10.621278564008833,0,1,0,0,1,0,1,0,0,1
AWD,19.5,Gasoline,104388,18588.0,Merc,2014,3.5,6.0,automatic,7.0,none, M-Class ML 350 4MATIC,9.830271490204868,0,0,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,31341,41995.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.645305842559727,0,0,0,0,1,0,1,0,0,0
AWD,13.0,Gasoline,47516,112500.0,Merc,2016,5.5,8.0,automatic,7.0,turbo, AMG G AMG G 63 4MATIC,11.630708500626612,0,1,0,0,1,0,1,0,0,0
AWD,25.0,Hybrid,21802,42892.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, GLC 350e Base 4MATIC,10.666440607340036,0,1,0,0,1,0,0,1,0,0
RWD,28.5,Gasoline,40440,29990.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.308619271743057,0,1,0,0,1,0,1,0,0,1
AWD,24.5,Gasoline,47451,32557.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300 Base 4MATIC,10.39074767827941,0,1,0,0,1,0,1,0,0,0
AWD,27.0,Gasoline,12234,36606.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, GLA 250 Base 4MATIC,10.507967440379907,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,21212,47494.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.768358666254748,0,0,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,12775,46782.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.753253792537654,0,0,0,0,1,0,1,0,0,0
RWD,21.5,Gasoline,69255,48895.0,Merc,2015,4.7,8.0,automatic,7.0,turbo, S-Class S 550,10.797430420746377,0,1,0,0,1,0,1,0,0,1
AWD,25.0,Hybrid,19428,43559.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, GLC 350e Base 4MATIC,10.681871619942246,0,1,0,0,1,0,0,1,0,0
AWD,28.0,Gasoline,65012,23992.0,Merc,2015,2.0,4.0,automatic,7.0,turbo, GLA-Class GLA 250 4MATIC,10.085475720428844,0,1,0,0,1,0,1,0,0,0
AWD,23.5,Gasoline,71992,17995.0,Merc,2013,3.5,6.0,automatic,7.0,none, C-Class C 300 4MATIC Sport,9.79784922051313,0,0,0,0,1,0,1,0,0,0
AWD,19.5,Gasoline,80845,24990.0,Merc,2012,4.7,8.0,automatic,7.0,turbo, S-Class S 550 4MATIC,10.126231023828998,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,10561,45999.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.736374936104498,0,0,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,35169,33517.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.41980805178408,0,1,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,29780,30999.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.341710224882464,0,1,0,0,1,0,1,0,0,0
AWD,13.0,Gasoline,74067,102349.0,Merc,2016,5.5,8.0,automatic,7.0,turbo, AMG G AMG G 63 4MATIC,11.536143820646004,0,1,0,0,1,0,1,0,0,0
AWD,24.5,Gasoline,22143,38871.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300,10.56800375029692,0,1,0,0,1,0,1,0,0,0
AWD,28.5,Gasoline,80399,21595.0,Merc,2016,2.0,4.0,automatic,7.0,turbo, CLA-Class CLA 250 4MATIC,9.980217085394802,0,1,0,0,1,0,1,0,0,0
AWD,27.0,Gasoline,36708,35995.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, GLA 250 Base 4MATIC,10.491135318903403,0,1,0,0,1,0,1,0,0,0
RWD,27.0,Gasoline,17670,31795.0,Merc,2015,1.8,4.0,automatic,7.0,turbo, SLK-Class SLK 250,10.367064323701507,0,1,0,0,1,0,1,0,0,1
RWD,25.0,Gasoline,58002,33995.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300 Base,10.43396873396056,0,1,0,0,1,0,1,0,0,1
AWD,18.0,Gasoline,20751,117577.0,Merc,2017,5.5,8.0,automatic,7.0,turbo, AMG S 63 Base 4MATIC,11.674848717087457,0,1,0,0,1,0,1,0,0,0
RWD,26.0,Gasoline,25079,38639.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.56201740807438,0,1,0,0,1,0,1,0,0,1
AWD,20.5,Gasoline,67407,33881.0,Merc,2017,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.43060966426901,0,0,0,0,1,0,1,0,0,0
RWD,20.5,Gasoline,45336,44243.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base,10.697452445831992,0,0,0,0,1,0,1,0,0,1
AWD,15.0,Gasoline,44697,179998.0,Merc,2019,4.0,8.0,automatic,9.0,turbo, G-Class G 550 4MATIC,12.100701018699509,0,1,0,0,1,0,1,0,0,0
AWD,28.0,Gasoline,46497,30999.0,Merc,2019,2.0,4.0,automatic,7.0,turbo, CLA 250 Base 4MATIC,10.341710224882464,0,1,0,0,1,0,1,0,0,0
AWD,28.0,Gasoline,29260,32995.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, CLA 250 Base 4MATIC,10.404111313817522,0,1,0,0,1,0,1,0,0,0
AWD,18.0,Gasoline,14830,224999.0,Merc,2021,4.0,8.0,automatic,9.0,turbo, G-Class G 550 4MATIC,12.323851236732237,0,1,0,0,1,0,1,0,0,0
AWD,27.5,Gasoline,23462,33799.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.428186495234623,0,1,0,0,1,0,1,0,0,0
RWD,21.0,Gasoline,104816,39894.0,Merc,2014,4.7,8.0,automatic,7.0,turbo, S-Class S 550,10.59398121563051,0,1,0,0,1,0,1,0,0,1
AWD,22.5,Gasoline,56061,31997.0,Merc,2014,4.7,8.0,automatic,7.0,turbo, CLS-Class CLS 550,10.373397427387058,0,1,0,0,1,0,1,0,0,0
RWD,26.0,Gasoline,16533,40139.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.600103709234816,0,1,0,0,1,0,1,0,0,1
AWD,22.0,Gasoline,12211,66345.0,Merc,2018,3.0,6.0,automatic,9.0,turbo, AMG E 43 Base 4MATIC,11.102623678970536,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,46325,44946.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.713217048175938,0,0,0,0,1,0,1,0,0,0
AWD,19.5,Gasoline,10568,71999.0,Merc,2019,3.0,6.0,automatic,9.0,turbo, AMG GLE 43 4MATIC Coupe,11.184407509012852,0,1,0,0,1,0,1,0,0,0
AWD,25.0,Gasoline,42674,46998.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.757860326595294,0,1,0,0,1,0,1,0,0,0
RWD,28.5,Gasoline,19811,33911.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.43149472451088,0,1,0,0,1,0,1,0,0,1
RWD,26.0,Gasoline,68334,40490.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.608810309026207,0,1,0,0,1,0,1,0,0,1
RWD,23.5,Gasoline,47252,43988.0,Merc,2015,3.0,6.0,automatic,7.0,turbo, SL-Class SL 400,10.691672148430824,0,1,0,0,1,0,1,0,0,1
AWD,14.5,Gasoline,788,295025.0,Merc,2021,4.0,8.0,automatic,9.0,turbo, AMG G 63 Base,12.59481537749395,0,1,0,0,1,0,1,0,0,0
AWD,25.5,Gasoline,34896,38500.0,Merc,2017,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.558413520275876,0,1,0,0,1,0,1,0,0,0
AWD,21.0,Gasoline,80522,38966.0,Merc,2015,4.7,8.0,automatic,7.0,turbo, S-Class S 550 4MATIC,10.570444750005832,0,1,0,0,1,0,1,0,0,0
AWD,25.0,Gasoline,78537,24790.0,Merc,2014,3.5,6.0,automatic,7.0,none, E-Class E 350 4MATIC,10.118195625029236,0,0,0,0,1,0,1,0,0,0
FWD,28.5,Gasoline,46219,28990.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, GLA 250 Base,10.274706221915702,0,1,0,0,1,0,1,0,1,0
AWD,28.0,Gasoline,67333,23099.0,Merc,2015,2.0,4.0,automatic,7.0,turbo, GLA-Class GLA 250 4MATIC,10.047544605529554,0,1,0,0,1,0,1,0,0,0
RWD,29.5,Gasoline,10286,38219.0,Merc,2020,2.0,4.0,automatic,9.0,turbo, C-Class C 300,10.551088053140091,0,1,0,0,1,0,1,0,0,1
AWD,27.5,Gasoline,35039,35500.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, C-Class C 300 4MATIC,10.477287975463508,0,1,0,0,1,0,1,0,0,0
AWD,19.0,Gasoline,28568,65000.0,Merc,2019,3.5,6.0,automatic,9.0,none, GLS 450 Base 4MATIC,11.082142548877776,0,0,0,0,1,0,1,0,0,0
AWD,25.0,Gasoline,23343,45222.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, E-Class E 300,10.719338973071524,0,1,0,0,1,0,1,0,0,0
AWD,24.5,Gasoline,29868,37450.0,Merc,2018,2.0,4.0,automatic,9.0,turbo, GLC 300 Base 4MATIC,10.530761988945365,0,1,0,0,1,0,1,0,0,0
AWD,20.0,Gasoline,32639,45547.0,Merc,2018,3.5,6.0,automatic,7.0,none, GLE 350 Base 4MATIC,10.72650003882868,0,0,0,0,1,0,1,0,0,0
AWD,16.5,Gasoline,83853,23998.0,Merc,2014,4.7,8.0,automatic,7.0,turbo, GL-Class GL 450 4MATIC,10.085725772524334,0,1,0,0,1,0,1,0,0,0
FWD,28.5,Gasoline,12475,32880.0,Merc,2018,2.0,4.0,automatic,7.0,turbo, GLA 250 Base,10.400619849170116,0,1,0,0,1,0,1,0,1,0
AWD,29.0,Gasoline,31924,39500.0,Merc,2020,2.0,4.0,automatic,7.0,turbo, A-Class A 220 4MATIC,10.584055950889214,0,1,0,0,1,0,1,0,0,0
